timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773024212.4193304,55.4,0x80000,1800.02,3.11,9.9,1.18,635.05
1773024212.5679603,56.0,0x80000,1700.02,2.856,7.0,1.18,635.05
1773024212.7150323,55.4,0x80000,1700.02,2.598,6.9,1.18,635.05
1773024212.8629584,53.8,0x80000,1700.02,2.679,10.0,1.18,635.05
1773024213.0100873,54.3,0x80000,1600.02,2.647,8.5,1.18,635.05
1773024213.1592944,54.3,0x80000,1700.03,2.766,5.1,1.18,635.05
1773024213.306249,53.8,0x80000,1600.02,2.584,8.5,1.18,635.05
1773024213.4554656,54.3,0x80000,1700.01,2.633,6.7,1.18,635.05
1773024213.6025786,54.9,0x80000,2100.02,2.897,8.8,1.18,635.05
1773024213.7467039,54.9,0x80000,1700.02,2.72,5.4,1.18,635.05
1773024213.8950047,54.3,0x80000,1700.02,2.604,6.8,1.18,635.05
1773024214.0458312,55.4,0x80000,1700.01,2.649,6.7,1.18,635.05
1773024214.1961439,54.9,0x80000,1800.02,2.499,8.5,1.18,634.8
1773024214.342941,54.9,0x80000,1700.02,2.746,8.5,1.18,634.8
1773024214.4897976,55.4,0x80000,1600.01,2.863,8.3,1.18,634.8
1773024214.6404393,53.8,0x80000,1700.01,2.578,6.7,1.18,634.8
1773024214.7878315,53.8,0x80000,1800.02,2.645,8.5,1.16,634.8
1773024214.9385204,53.8,0x80000,1700.02,2.567,5.2,1.16,634.8
1773024215.088848,54.3,0x80000,1700.02,2.993,8.2,1.16,634.8
1773024215.2357414,54.3,0x80000,1700.02,3.041,12.1,1.16,634.8
1773024215.3852365,54.3,0x80000,1700.02,2.588,6.9,1.16,634.8
1773024215.5310364,54.3,0x80000,1600.01,2.824,5.2,1.16,634.8
1773024215.6802893,54.3,0x80000,1700.02,2.967,6.7,1.16,634.8
1773024215.8313463,54.3,0x80000,1700.02,2.593,8.5,1.16,634.8
1773024215.9806054,54.3,0x80000,1700.02,2.971,11.5,1.16,634.8
1773024216.1298544,54.3,0x80000,1700.02,3.281,6.9,1.16,634.8
1773024216.280105,54.3,0x80000,1800.03,3.622,6.9,1.16,634.8
1773024216.426774,55.4,0x80000,1600.01,2.733,5.3,1.16,634.8
1773024216.573532,54.3,0x80000,1600.02,2.867,8.5,1.16,634.8
1773024216.7236426,54.3,0x80000,1700.02,2.599,5.0,1.16,634.8
1773024216.870633,55.4,0x80000,1600.02,3.821,6.9,1.16,634.8
1773024217.0173628,53.8,0x80000,1600.02,3.436,11.7,1.16,634.8
1773024217.1679068,55.4,0x80000,1700.02,2.56,5.1,1.16,634.8
1773024217.3144412,54.3,0x80000,1600.02,2.745,7.0,1.16,634.8
1773024217.4627266,55.4,0x80000,2000.03,3.181,10.2,1.16,634.8
1773024217.6132247,55.4,0x80000,1700.02,2.56,8.2,1.16,634.8
1773024217.763463,54.3,0x80000,1700.02,2.788,5.1,1.16,634.55
1773024217.9133742,55.4,0x80000,1700.02,2.802,5.2,1.16,634.55
1773024218.0592966,53.8,0x80000,2400.03,2.723,13.8,1.16,634.55
1773024218.205384,54.3,0x80000,1700.02,2.671,12.1,1.16,634.55
1773024218.356334,55.4,0x80000,1700.02,3.169,6.7,1.16,634.55
1773024218.5038548,54.3,0x80000,1700.02,2.784,5.2,1.16,634.55
1773024218.6508718,56.0,0x80000,1600.01,2.768,10.3,1.16,634.55
