timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773026597.0470533,51.0,0x80000,1700.03,2.517,9.1,0.86,987.75
1773026597.1944668,50.5,0x80000,1600.02,2.825,16.1,0.85,987.75
1773026597.3410783,51.0,0x80000,2100.02,2.632,13.8,0.85,987.25
1773026597.4878466,52.1,0x80000,1800.03,4.139,13.8,0.83,987.5
1773026597.6319973,51.0,0x80000,1700.02,2.804,8.8,0.83,987.25
1773026597.7790055,50.5,0x80000,1700.02,2.598,12.1,0.83,987.0
1773026597.9280586,51.0,0x80000,1600.02,2.557,8.5,0.83,987.0
1773026598.0752833,50.5,0x80000,1600.02,3.934,23.3,0.83,987.53
1773026598.2336786,51.0,0x80000,1600.01,3.278,18.8,0.83,988.04
1773026598.3880458,51.6,0x80000,2000.01,6.427,40.0,0.83,987.54
1773026598.5343347,52.1,0x80000,1800.02,3.164,22.4,0.83,987.04
1773026598.6824703,53.2,0x80000,1900.02,3.301,25.4,0.84,986.04
1773026598.8333726,51.6,0x80000,2000.02,2.897,16.7,0.83,985.79
1773026598.9817667,52.1,0x80000,1900.02,3.373,11.7,0.83,985.79
1773026599.1316397,50.5,0x80000,1800.03,3.627,18.6,0.83,985.54
1773026599.2806668,52.7,0x80000,1800.02,2.582,35.6,0.84,985.29
1773026599.4275525,52.1,0x80000,1600.01,2.653,10.3,0.84,985.29
1773026599.5776258,51.6,0x80000,1600.02,2.608,8.5,0.84,985.04
1773026599.7266123,51.0,0x80000,1800.02,3.545,8.5,0.83,985.04
1773026599.873624,51.6,0x80000,1600.02,2.743,13.8,0.83,985.04
1773026600.020743,51.6,0x80000,1600.01,4.751,13.6,0.83,985.0
1773026600.1650467,52.7,0x80000,1700.01,3.384,7.1,0.83,985.0
1773026600.3135588,52.7,0x80000,1600.01,2.955,15.0,0.83,984.5
1773026600.4630146,51.6,0x80000,1800.02,2.598,13.8,0.84,984.5
1773026600.612865,51.6,0x80000,2100.02,2.626,13.6,0.83,984.25
1773026600.7598858,51.0,0x80000,1600.01,3.601,12.1,0.84,984.0
1773026600.9042304,52.1,0x80000,2200.03,2.686,23.7,0.84,984.0
1773026601.0510693,51.6,0x80000,1600.01,2.706,6.9,0.84,984.0
1773026601.200126,52.1,0x80000,1700.02,2.809,15.3,0.84,983.75
1773026601.3476372,52.1,0x80000,1900.03,4.047,16.9,0.84,983.75
1773026601.4964147,51.6,0x80000,1800.02,2.619,15.3,0.84,983.5
1773026601.6423109,52.1,0x80000,2400.03,3.701,33.3,0.83,983.67
1773026601.7871287,51.6,0x80000,2100.03,2.578,13.8,0.84,983.67
1773026601.9312685,51.6,0x80000,1700.02,2.815,20.3,0.84,983.67
1773026602.0764213,52.1,0x80000,2000.02,2.736,12.5,0.84,983.67
1773026602.22545,51.6,0x80000,1900.02,3.949,13.6,0.84,983.67
1773026602.3723793,51.6,0x80000,1800.02,2.799,16.7,0.84,983.67
1773026602.521427,51.6,0x80000,1700.01,5.507,12.1,0.84,983.67
1773026602.6701827,52.7,0x80000,1600.01,2.802,13.1,0.84,983.67
1773026602.8171952,52.1,0x80000,1600.02,2.888,22.0,0.84,983.67
1773026602.9664898,51.6,0x80000,1600.01,2.544,11.9,0.84,983.67
1773026603.1103606,51.6,0x80000,2400.02,2.888,20.7,0.84,983.67
1773026603.2607546,51.6,0x80000,1700.02,2.742,8.5,0.84,983.67
1773026603.4099743,52.7,0x80000,1700.01,2.669,11.7,0.84,983.67
1773026603.561045,51.6,0x80000,1600.01,3.672,15.0,0.84,983.67
1773026603.7060065,52.1,0x80000,1800.02,3.082,10.5,0.84,983.67
1773026603.8567593,52.7,0x80000,2200.03,3.355,26.2,0.83,983.67
1773026604.00346,52.1,0x80000,1600.02,2.733,11.9,0.84,983.67
1773026604.1521645,52.1,0x80000,1800.02,2.909,13.3,0.84,983.67
1773026604.2995782,51.0,0x80000,1800.02,3.817,24.6,0.84,983.67
1773026604.4484675,51.6,0x80000,2400.02,2.889,19.0,0.84,983.67
1773026604.600388,51.6,0x80000,1800.02,4.265,18.6,0.84,983.67
1773026604.749965,52.7,0x80000,1600.02,2.837,18.0,0.83,983.67
1773026604.8944333,52.7,0x80000,1700.02,2.582,7.0,0.84,983.67
1773026605.0418048,52.1,0x80000,1600.01,4.596,18.6,0.83,986.8
1773026605.1839538,51.6,0x80000,2400.03,3.96,33.3,0.83,1001.07
1773026605.32576,53.2,0x80000,2400.02,3.837,35.1,0.82,1015.45
1773026605.47969,52.1,0x80000,2400.02,3.684,32.3,0.81,1024.0
1773026605.6260974,52.7,0x80000,1700.01,2.737,8.8,0.81,1023.5
1773026605.773278,51.6,0x80000,1700.01,2.557,10.3,0.81,1023.5
1773026605.9264693,52.1,0x80000,2100.03,3.124,14.8,0.81,1023.5
1773026606.0745058,51.0,0x80000,1600.02,5.361,18.0,0.81,1024.0
1773026606.2262125,53.2,0x80000,1800.03,2.657,25.0,0.81,1024.0
1773026606.3734348,52.1,0x80000,1700.02,2.821,10.3,0.81,1024.0
1773026606.524987,51.6,0x80000,1800.03,2.845,16.1,0.81,1024.0
1773026606.6717658,52.1,0x80000,1700.01,2.501,8.8,0.81,1024.0
1773026606.8200443,51.6,0x80000,2000.03,3.033,15.0,0.81,1023.26
1773026606.9678593,52.1,0x80000,1800.02,2.597,16.9,0.81,1023.99
1773026607.1177063,51.6,0x80000,1600.02,2.86,8.6,0.81,1023.99
1773026607.267354,51.6,0x80000,2000.02,2.851,16.4,0.81,1023.98
1773026607.420819,51.6,0x80000,1700.02,2.624,16.9,0.82,1023.98
1773026607.5675142,52.1,0x80000,1900.03,2.511,17.2,0.81,1023.98
1773026607.7150633,51.0,0x80000,1700.02,2.711,15.5,0.81,1023.98
1773026607.8667946,52.1,0x80000,2400.03,2.998,40.0,0.82,1023.98
1773026608.0195625,54.3,0x80000,2400.02,5.139,64.5,0.81,1023.98
1773026608.1699433,52.7,0x80000,1600.02,3.564,16.7,0.81,1023.98
1773026608.317001,52.1,0x80000,1600.02,2.766,10.2,0.81,1023.98
1773026608.4617572,52.1,0x80000,1700.01,3.623,14.0,0.81,1023.98
1773026608.6147554,52.1,0x80000,1700.02,2.842,14.5,0.81,1023.89
1773026608.7627845,52.1,0x80000,1800.03,3.917,21.7,0.81,1023.89
1773026608.9079053,53.2,0x80000,1700.01,3.752,36.8,0.81,1023.89
1773026609.057167,54.3,0x80000,1600.01,2.867,11.7,0.81,1023.89
1773026609.2100372,52.1,0x80000,2000.02,2.571,11.7,0.81,1023.86
1773026609.3572133,53.2,0x80000,1800.02,3.461,13.1,0.81,1023.86
1773026609.5062566,52.7,0x80000,1800.03,3.366,8.6,0.81,1023.86
1773026609.6515121,51.6,0x80000,2000.02,2.612,14.0,0.81,1023.86
1773026609.807373,53.2,0x80000,2400.03,8.543,64.1,0.81,1023.86
1773026609.9570663,54.9,0x80000,2400.02,6.871,84.7,0.81,1023.38
1773026610.112288,56.0,0x80000,2400.03,8.355,98.4,0.81,1023.38
1773026610.265476,55.4,0x80000,2300.03,6.817,65.0,0.81,1022.23
1773026610.4181702,54.3,0x80000,1900.02,3.992,35.5,0.81,1022.23
1773026610.565409,53.8,0x80000,1700.02,2.56,13.8,0.81,1020.17
1773026610.7147443,54.9,0x80000,1800.02,2.537,13.6,0.81,1020.17
1773026610.8616393,52.7,0x80000,1600.01,2.617,10.2,0.81,1020.17
1773026611.0126016,52.7,0x80000,1900.02,3.196,10.2,0.81,1020.17
1773026611.159474,52.1,0x80000,1600.02,2.818,10.2,0.81,1020.16
1773026611.309667,53.2,0x80000,1800.02,3.85,13.6,0.81,1020.16
1773026611.453952,52.7,0x80000,1700.02,3.98,12.1,0.81,1020.16
1773026611.6038299,52.7,0x80000,1700.02,2.911,10.2,0.81,1020.16
1773026611.7482116,52.7,0x80000,1700.02,2.803,7.1,0.81,1020.16
1773026611.8954573,53.8,0x80000,1700.02,2.661,10.0,0.81,1020.16
1773026612.043447,52.1,0x80000,1600.02,2.708,15.3,0.82,1020.16
1773026612.1897285,52.1,0x80000,1700.02,2.989,19.0,0.82,1020.13
1773026612.3387604,53.2,0x80000,1700.02,2.763,10.0,0.82,1020.13
1773026612.4902375,53.2,0x80000,1700.02,3.302,10.0,0.82,1020.13
1773026612.637152,53.2,0x80000,1700.02,2.674,10.2,0.82,1020.13
1773026612.7918375,51.0,0x80000,2400.02,6.731,38.7,0.82,1020.13
1773026612.93937,53.8,0x80000,1600.02,2.779,25.9,0.81,1019.19
1773026613.0861669,53.2,0x80000,1700.02,3.487,27.6,0.81,1019.39
1773026613.2348201,52.7,0x80000,1800.03,2.878,11.9,0.81,1019.39
1773026613.3819325,52.7,0x80000,1600.01,2.814,10.2,0.81,1019.39
1773026613.536447,53.8,0x80000,2400.04,3.111,29.5,0.81,1019.39
1773026613.6880803,53.8,0x80000,1700.02,8.257,40.0,0.81,1019.34
1773026613.8338335,54.9,0x80000,2400.02,2.624,52.6,0.81,1019.34
1773026613.9814413,53.8,0x80000,2100.02,3.92,16.9,0.81,1019.34
1773026614.1302557,52.7,0x80000,2100.02,2.848,15.3,0.81,1019.34
1773026614.279558,52.7,0x80000,2400.03,3.955,15.3,0.82,1019.34
1773026614.4257402,52.1,0x80000,1700.02,2.931,15.5,0.82,1019.34
1773026614.573615,52.1,0x80000,1700.02,3.239,11.9,0.81,1019.33
1773026614.7215035,54.3,0x80000,1800.02,2.793,22.0,0.82,1019.33
1773026614.8719237,54.9,0x80000,1700.02,3.586,32.8,0.81,1019.33
1773026615.016853,52.7,0x80000,2400.02,3.831,26.3,0.81,1019.25
1773026615.1613684,52.7,0x80000,1700.02,3.238,10.7,0.81,1019.21
1773026615.308663,53.2,0x80000,2400.03,2.877,27.1,0.82,1019.21
1773026615.4642477,54.3,0x80000,1900.02,3.412,28.6,0.82,1019.21
1773026615.6112957,52.1,0x80000,1600.01,4.405,15.5,0.81,1019.21
1773026615.7605667,53.2,0x80000,1600.01,3.467,21.7,0.82,1019.19
1773026615.9082687,54.9,0x80000,1800.03,2.773,34.5,0.82,1019.41
1773026616.057154,52.1,0x80000,1600.01,3.464,13.3,0.82,1019.41
1773026616.207596,52.7,0x80000,1800.03,3.583,10.3,0.82,1019.41
1773026616.351905,53.2,0x80000,1700.02,3.34,10.3,0.82,1019.41
1773026616.5016694,53.2,0x80000,1700.02,3.407,20.0,0.82,1019.54
1773026616.6492147,52.1,0x80000,1700.02,2.99,16.7,0.82,1018.02
1773026616.7983959,52.1,0x80000,1800.03,2.759,12.1,0.81,1018.02
1773026616.9422967,53.8,0x80000,2400.03,2.87,10.3,0.81,1018.02
1773026617.092191,52.1,0x80000,1800.02,4.067,13.6,0.81,1018.02
1773026617.2430182,52.1,0x80000,1900.03,3.481,13.1,0.81,1018.16
1773026617.38855,52.7,0x80000,2400.03,3.777,19.3,0.81,1018.16
1773026617.530349,54.3,0x80000,2400.03,3.994,39.3,0.81,1024.0
1773026617.6747944,52.7,0x80000,1700.01,2.848,22.8,0.81,1024.0
1773026617.8308215,52.7,0x80000,1900.03,2.403,19.4,0.81,1020.83
1773026617.9790885,53.2,0x80000,1600.02,3.164,28.8,0.81,1024.0
1773026618.123771,52.1,0x80000,2400.02,3.168,37.9,0.81,1024.0
1773026618.2731347,53.2,0x80000,1700.02,2.59,10.0,0.81,1023.99
1773026618.419776,52.1,0x80000,1700.02,3.352,12.1,0.81,1023.99
1773026618.5712554,52.1,0x80000,1900.03,2.815,11.9,0.81,1023.8
1773026618.7202687,52.7,0x80000,1700.02,2.938,11.9,0.81,1023.8
1773026618.8697536,53.2,0x80000,1700.02,2.621,8.5,0.81,1023.8
1773026619.0148509,52.1,0x80000,1700.02,3.392,8.6,0.81,1023.8
1773026619.162328,53.2,0x80000,1900.02,2.578,13.6,0.81,1023.8
1773026619.376797,52.7,0x80000,1700.01,4.074,23.8,0.81,1023.8
1773026619.527735,52.1,0x80000,1900.02,4.522,13.3,0.81,1023.8
1773026619.6810489,52.1,0x80000,2000.03,2.739,23.3,0.81,1023.29
1773026619.8480704,53.2,0x80000,2400.03,6.296,67.7,0.81,1023.27
1773026619.9996107,53.2,0x80000,2400.03,3.93,38.7,0.81,1023.26
1773026620.143929,54.9,0x80000,2400.04,4.378,35.1,0.81,1023.26
1773026620.2908082,53.8,0x80000,1600.02,3.031,22.0,0.81,1023.26
1773026620.433929,53.8,0x80000,2400.03,5.156,43.9,0.81,1023.26
1773026620.5985153,52.7,0x80000,2400.03,3.706,22.7,0.82,1023.81
1773026620.7617395,53.2,0x80000,1600.02,2.682,10.9,0.82,1023.81
1773026620.9098196,53.2,0x80000,1900.02,3.017,21.7,0.83,1023.11
1773026621.0593565,52.1,0x80000,1700.02,2.502,8.2,0.83,1021.88
1773026621.2059836,53.2,0x80000,1700.02,3.764,10.2,0.83,1021.88
1773026621.353248,53.8,0x80000,1700.01,2.831,5.1,0.83,1021.88
1773026621.4986155,51.6,0x80000,1600.02,3.071,12.1,0.82,1022.89
1773026621.6455066,53.8,0x80000,1700.02,2.643,18.3,0.82,1024.0
1773026621.794507,51.6,0x80000,1500.01,2.815,3.5,0.82,1024.0
1773026621.9435103,52.7,0x80000,1500.02,2.566,5.0,0.82,1024.0
1773026622.0936036,51.6,0x80000,1500.01,3.082,8.5,0.81,1024.0
1773026622.2405806,52.1,0x80000,1600.02,2.788,6.7,0.81,1023.99
1773026622.3905203,53.2,0x80000,1900.02,2.7,15.0,0.81,1023.99
1773026622.5400283,52.7,0x80000,1700.02,2.513,5.1,0.81,1023.99
1773026622.6884835,53.2,0x80000,1500.02,2.674,3.4,0.81,1023.75
1773026622.8379846,51.0,0x80000,1600.01,2.669,8.3,0.81,1023.33
1773026622.9850109,52.1,0x80000,1600.01,2.576,5.1,0.81,1023.33
1773026623.132551,52.7,0x80000,2100.02,2.847,10.2,0.81,1023.17
1773026623.2829542,52.1,0x80000,1600.02,2.56,13.3,0.81,1024.0
1773026623.4321067,51.6,0x80000,1900.02,3.121,15.5,0.81,1024.0
1773026623.5776105,52.7,0x80000,1800.02,2.779,8.8,0.81,1024.0
1773026623.7315907,53.2,0x80000,2400.03,6.147,36.5,0.81,1023.99
1773026623.8803697,51.6,0x80000,1500.02,2.855,6.8,0.81,1023.99
1773026624.0281296,52.7,0x80000,2000.02,3.945,16.9,0.81,1023.99
1773026624.1746192,51.6,0x80000,1600.03,3.132,8.5,0.81,1023.9
1773026624.3215,53.2,0x80000,1600.02,3.065,6.7,0.81,1023.9
1773026624.4711788,52.1,0x80000,1700.02,2.552,5.1,0.81,1023.9
1773026624.617985,53.2,0x80000,1600.02,2.868,8.2,0.81,1023.9
1773026624.764576,52.1,0x80000,1700.03,2.607,5.3,0.81,1023.83
1773026624.9119222,51.6,0x80000,1700.02,3.615,8.5,0.81,1023.83
1773026625.058714,51.0,0x80000,1500.02,2.809,12.3,0.81,1023.83
1773026625.2053802,51.6,0x80000,1700.02,2.721,8.3,0.81,1023.83
1773026625.352252,52.7,0x80000,1600.02,2.706,6.7,0.81,1023.83
1773026625.5016356,51.6,0x80000,1600.02,2.593,5.1,0.81,1023.83
1773026625.650953,51.6,0x80000,1600.02,2.519,8.3,0.81,1023.83
1773026625.7978945,51.6,0x80000,1600.01,3.182,5.2,0.81,1023.83
1773026625.9441836,51.6,0x80000,2400.03,3.023,10.3,0.81,1023.82
1773026626.0900667,51.0,0x80000,1600.02,2.636,9.8,0.81,1023.82
1773026626.2371964,51.6,0x80000,1600.02,2.587,6.8,0.81,1023.79
1773026626.3838089,51.0,0x80000,1700.02,3.187,6.9,0.81,1023.79
1773026626.534571,52.1,0x80000,1600.03,5.117,14.8,0.81,1023.79
1773026626.683767,52.1,0x80000,1600.02,3.087,5.0,0.81,1023.79
1773026626.8316116,52.7,0x80000,2000.03,6.056,12.1,0.81,1023.79
1773026626.9838064,51.6,0x80000,2300.03,3.122,10.0,0.81,1023.76
1773026627.1340826,50.5,0x80000,1600.02,3.2,11.7,0.81,1023.73
1773026627.2935662,52.1,0x80000,2400.03,6.608,38.7,0.81,1023.72
1773026627.440974,52.7,0x80000,1600.01,2.538,17.2,0.81,1023.71
1773026627.584835,52.7,0x80000,2400.03,4.561,22.4,0.81,1024.0
1773026627.735203,51.6,0x80000,1700.02,2.767,10.0,0.81,1024.0
1773026627.8836343,51.0,0x80000,2000.02,3.733,11.7,0.81,1024.0
1773026628.0308325,51.6,0x80000,1700.02,2.512,5.3,0.81,1024.0
1773026628.1794045,50.5,0x80000,1700.02,3.213,5.1,0.81,1023.98
1773026628.3289287,51.0,0x80000,1700.02,2.553,5.1,0.81,1023.98
1773026628.4780433,51.6,0x80000,1700.02,3.707,13.3,0.81,1023.98
1773026628.6240194,51.6,0x80000,2400.03,3.725,16.9,0.81,1023.98
