timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773161040.2334373,74.7,0x0,2200.02,8.338,70.0,1.67,199.25
1773161040.3901803,76.8,0x0,2400.03,9.213,100.0,1.67,199.25
1773161040.5412526,76.8,0x0,2400.02,9.228,96.7,1.67,199.25
1773161040.696077,78.5,0x0,2400.04,7.645,100.0,1.67,199.25
1773161040.84525,77.9,0x0,2400.02,8.474,98.3,1.67,199.25
1773161040.9933445,77.4,0x0,2400.02,8.735,98.3,1.67,199.25
1773161041.1421118,76.8,0x0,2400.03,7.91,96.6,1.67,199.25
1773161041.2980802,75.7,0x0,2400.03,5.031,96.7,1.67,199.25
1773161041.4550946,77.4,0x0,2400.03,9.144,98.4,1.67,199.25
1773161041.6079276,77.4,0x0,2400.04,8.391,100.0,1.67,199.25
1773161041.7634916,78.5,0x0,2400.02,9.166,100.0,1.67,199.25
1773161041.9190319,77.4,0x0,2400.03,8.442,100.0,1.67,199.25
1773161042.06833,79.6,0x0,2400.04,8.808,98.3,1.67,199.25
1773161042.2238955,78.5,0x0,2400.02,9.032,100.0,1.67,199.25
1773161042.3800669,76.8,0x0,2400.03,8.662,100.0,1.67,199.25
1773161042.5304742,79.0,0x0,2400.03,8.723,100.0,1.67,199.25
1773161042.681856,78.5,0x0,2400.03,8.829,100.0,1.67,199.25
1773161042.8350608,78.5,0x0,2400.03,8.885,100.0,1.67,199.25
1773161042.9878972,78.5,0x0,2400.02,7.117,80.6,1.66,199.25
1773161043.1410925,76.8,0x0,2400.03,6.975,55.0,1.66,199.25
1773161043.2952664,75.7,0x0,2400.03,4.63,55.7,1.66,199.25
1773161043.4483109,75.7,0x0,2400.02,6.95,53.3,1.66,199.25
1773161043.601705,76.8,0x0,2400.03,6.861,54.8,1.66,199.25
1773161043.7519777,75.2,0x0,2400.02,7.158,54.2,1.66,199.25
1773161043.9060047,77.4,0x0,2400.03,7.019,54.8,1.67,199.25
1773161044.0578458,75.2,0x0,2400.03,6.877,53.3,1.66,199.25
1773161044.2110436,74.1,0x0,2400.04,6.951,55.0,1.66,199.25
1773161044.3649108,75.2,0x0,2400.02,5.129,56.5,1.66,199.25
1773161044.515008,76.3,0x0,2400.03,6.74,55.0,1.66,199.25
1773161044.6687877,74.7,0x0,2400.02,7.059,55.7,1.66,199.25
1773161044.8319397,75.2,0x0,2400.03,6.479,82.8,1.66,199.25
1773161044.9935942,75.7,0x0,2400.03,7.167,82.5,1.66,199.25
1773161045.1462288,76.3,0x0,2400.02,6.733,65.0,1.66,199.25
1773161045.3015423,75.2,0x0,2400.03,7.212,54.8,1.66,199.25
1773161045.4536026,75.2,0x0,2400.04,6.744,55.0,1.66,199.25
1773161045.6068606,75.2,0x0,2400.02,6.797,54.1,1.66,199.25
1773161045.7608957,76.3,0x0,2400.03,5.174,54.8,1.66,199.25
1773161045.9107707,74.1,0x0,2400.03,6.84,54.2,1.66,199.25
1773161046.064753,74.1,0x0,2400.03,6.621,55.7,1.66,199.25
1773161046.2178085,74.1,0x0,2400.03,5.445,57.4,1.66,199.25
1773161046.3714445,74.1,0x0,2400.04,6.792,54.2,1.66,199.25
1773161046.5233142,73.6,0x0,2400.03,6.749,54.8,1.66,199.25
1773161046.6766362,74.1,0x0,2400.03,6.833,54.1,1.66,199.25
1773161046.8297133,75.2,0x0,2400.02,5.491,54.1,1.66,199.25
1773161046.9796698,75.2,0x0,2400.04,4.194,55.0,1.66,199.25
1773161047.134925,73.6,0x0,2400.02,6.841,55.0,1.66,199.25
1773161047.2876515,73.6,0x0,2400.03,6.932,54.8,1.66,199.25
1773161047.441114,73.6,0x0,2400.03,6.939,55.9,1.66,199.25
1773161047.5950308,75.2,0x0,2400.03,5.126,55.6,1.66,199.25
1773161047.7468908,73.6,0x0,2400.04,6.834,54.1,1.66,199.25
1773161047.9005249,73.6,0x0,2400.02,6.854,53.3,1.66,199.25
1773161048.0508683,75.2,0x0,2400.03,6.908,54.2,1.66,199.25
1773161048.2040648,74.7,0x0,2400.03,7.097,56.5,1.66,199.25
1773161048.3555992,74.1,0x0,2400.02,6.755,55.0,1.66,199.25
1773161048.5084925,73.0,0x0,2400.03,6.777,53.3,1.66,199.25
1773161048.6688247,74.7,0x0,2400.03,7.141,79.7,1.66,199.25
1773161048.8308423,74.7,0x0,2400.02,6.722,82.8,1.66,199.25
1773161048.9885592,75.2,0x0,2400.03,6.869,72.6,1.66,199.25
1773161049.1396222,75.2,0x0,2400.03,6.743,53.3,1.66,199.25
1773161049.2934523,73.6,0x0,2400.03,6.773,55.7,1.66,199.25
1773161049.4440527,74.7,0x0,2400.02,6.828,55.0,1.66,199.25
1773161049.5974705,74.1,0x0,2400.03,6.793,54.1,1.66,199.25
1773161049.7512338,73.6,0x0,2400.02,6.555,54.1,1.66,199.25
1773161049.9051244,74.7,0x0,2400.03,6.798,54.8,1.66,199.25
1773161050.058239,74.1,0x0,2400.04,6.803,55.0,1.66,199.25
1773161050.2090378,73.0,0x0,2400.03,6.784,55.0,1.66,199.25
1773161050.3624446,73.6,0x0,2400.03,6.543,54.1,1.66,199.25
1773161050.5150182,72.5,0x0,2400.02,5.186,54.1,1.66,199.25
1773161050.6676672,74.1,0x0,2400.03,6.991,55.0,1.66,199.25
1773161050.8197274,73.6,0x0,2400.02,6.833,54.1,1.66,199.25
1773161050.9738944,74.1,0x0,2400.02,6.851,54.8,1.66,199.25
1773161051.126754,74.1,0x0,2400.03,7.176,55.7,1.66,199.25
1773161051.277824,72.5,0x0,2400.03,6.668,54.2,1.66,199.25
1773161051.434052,73.0,0x0,2400.02,7.028,61.3,1.66,199.25
1773161051.5856197,73.6,0x0,2400.02,6.98,53.3,1.66,199.25
1773161051.7385943,73.0,0x0,2400.03,6.836,55.7,1.66,199.25
