timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773016910.7776368,54.3,0x80000,2100.02,8.581,19.8,0.71,717.38
1773016910.9292455,57.1,0x80000,2400.04,7.499,98.4,0.71,717.38
1773016911.085608,59.3,0x80000,2400.03,7.957,100.0,0.71,717.38
1773016911.2399335,60.4,0x80000,2400.02,8.272,100.0,0.71,717.38
1773016911.3935006,61.5,0x80000,2400.03,8.669,98.4,0.71,717.38
1773016911.5485594,62.0,0x80000,2400.04,8.702,100.0,0.71,717.38
1773016911.7064567,63.1,0x80000,2400.03,8.177,98.4,0.72,717.38
1773016911.8602061,61.5,0x80000,2400.04,8.716,100.0,0.72,717.38
1773016912.00851,63.1,0x80000,2400.03,8.803,98.3,0.72,717.38
1773016912.1601593,63.1,0x80000,2400.03,6.45,100.0,0.72,717.38
1773016912.311305,64.2,0x80000,2400.02,8.745,98.4,0.72,717.38
1773016912.4630404,63.1,0x80000,2400.03,7.023,75.0,0.72,717.38
1773016912.6165884,62.6,0x80000,2400.02,6.73,55.7,0.72,717.38
1773016912.7681475,62.6,0x80000,2400.03,7.399,57.4,0.72,717.38
1773016912.9215965,63.1,0x80000,2400.03,7.156,61.7,0.72,717.13
1773016913.0827663,63.7,0x80000,2400.02,6.762,82.5,0.72,717.13
1773016913.2434158,63.1,0x80000,2400.03,7.514,81.2,0.72,717.13
1773016913.4014425,64.2,0x80000,2400.03,7.433,66.1,0.73,717.13
1773016913.5512412,63.1,0x80000,2400.03,5.362,61.0,0.73,717.13
1773016913.7032075,63.1,0x80000,2400.02,7.048,55.0,0.73,717.13
1773016913.8563218,62.6,0x80000,2400.02,7.047,54.1,0.73,717.13
1773016914.006982,63.7,0x80000,2400.03,7.317,55.0,0.73,717.13
1773016914.1603365,63.1,0x80000,2400.02,6.89,55.7,0.73,717.13
1773016914.311946,64.2,0x80000,2400.03,6.834,53.3,0.73,717.13
1773016914.463954,63.7,0x80000,2400.04,7.347,57.4,0.73,717.13
1773016914.6160636,64.8,0x80000,2400.02,7.063,55.0,0.73,717.13
1773016914.7675855,64.8,0x80000,2400.03,6.73,54.2,0.73,717.13
1773016914.9194913,65.3,0x80000,2400.02,7.054,54.8,0.73,717.13
1773016915.073212,64.2,0x80000,2400.03,7.324,55.7,0.73,717.13
1773016915.2253191,64.8,0x80000,2400.03,7.53,55.0,0.73,717.13
1773016915.3783488,65.9,0x80000,2400.03,6.685,55.7,0.73,717.13
1773016915.5304005,65.3,0x80000,2400.02,6.65,54.2,0.73,717.13
1773016915.682245,64.2,0x80000,2400.02,7.037,54.8,0.73,717.13
1773016915.835501,64.2,0x80000,2400.02,6.688,54.1,0.73,717.13
1773016915.9877868,64.2,0x80000,2400.04,6.897,55.9,0.73,717.13
1773016916.1404648,64.8,0x80000,2400.02,7.266,55.0,0.73,717.13
1773016916.2924073,65.3,0x80000,2400.03,6.798,54.1,0.73,717.13
1773016916.4440653,64.8,0x80000,2400.02,6.72,55.7,0.73,717.13
1773016916.597689,63.7,0x80000,2400.02,6.696,53.3,0.73,717.13
1773016916.7553723,65.3,0x80000,2400.04,7.37,70.3,0.73,717.13
1773016916.9090867,64.8,0x80000,2400.03,6.915,55.0,0.73,717.13
1773016917.0601144,66.4,0x80000,2400.03,7.017,55.0,0.73,717.13
1773016917.2122228,65.9,0x80000,2400.04,7.015,55.0,0.73,717.13
1773016917.3652368,64.8,0x80000,2400.02,7.074,55.0,0.73,717.13
1773016917.5178618,65.3,0x80000,2400.04,7.119,54.1,0.73,717.13
1773016917.6721802,65.3,0x80000,2400.03,6.676,54.8,0.73,717.13
1773016917.8233001,66.4,0x80000,2400.02,7.046,56.7,0.73,717.13
1773016917.9744606,66.4,0x80000,2400.02,6.641,55.0,0.73,717.13
1773016918.127371,65.9,0x80000,2400.02,6.833,55.0,0.73,717.13
1773016918.2803447,65.3,0x80000,2400.04,7.197,54.1,0.73,717.13
1773016918.4348624,66.4,0x80000,2400.02,6.785,54.8,0.73,717.13
1773016918.587156,67.0,0x80000,2400.03,7.17,54.2,0.73,717.13
1773016918.7391446,66.4,0x80000,2400.02,7.133,54.1,0.73,717.13
1773016918.8919103,65.3,0x80000,2400.02,6.62,54.1,0.73,717.13
1773016919.043839,66.4,0x80000,2400.02,7.016,55.0,0.73,717.13
1773016919.1965532,65.9,0x80000,2400.03,6.642,55.7,0.73,717.13
1773016919.3485742,66.4,0x80000,2400.03,6.643,53.3,0.73,717.13
1773016919.5009778,64.8,0x80000,2400.03,7.007,55.7,0.73,717.13
1773016919.6547148,66.4,0x80000,2400.03,6.759,55.7,0.73,717.13
1773016919.8068733,66.4,0x80000,2400.03,6.73,53.3,0.73,717.13
1773016919.9585936,66.4,0x80000,2400.03,5.655,55.0,0.73,717.13
1773016920.1136737,66.4,0x80000,2400.02,7.0,56.2,0.73,717.13
1773016920.2658315,67.0,0x80000,2400.03,7.079,54.2,0.73,717.13
1773016920.4177048,67.0,0x80000,2400.03,6.67,54.1,0.73,717.13
1773016920.5693324,66.4,0x80000,2400.02,6.918,55.0,0.73,717.13
1773016920.7215676,67.5,0x80000,2400.02,6.912,54.1,0.73,717.13
1773016920.8727543,67.5,0x80000,2400.02,6.812,55.0,0.73,717.13
1773016921.0251722,67.5,0x80000,2400.02,6.97,59.0,0.73,717.13
1773016921.1786392,67.0,0x80000,2400.03,6.794,55.0,0.73,717.13
1773016921.3311665,64.8,0x80000,2400.02,6.576,55.7,0.73,717.13
1773016921.4849634,65.9,0x80000,2400.02,6.805,54.1,0.73,717.13
1773016921.636973,67.5,0x80000,2400.03,6.705,55.0,0.73,717.13
1773016921.788063,67.5,0x80000,2400.03,7.112,54.1,0.73,717.13
1773016921.9401152,67.0,0x80000,2400.02,6.864,54.2,0.73,717.13
1773016922.0939445,67.0,0x80000,2400.02,6.612,56.5,0.73,717.13
1773016922.2483466,67.0,0x80000,2400.03,6.834,55.0,0.73,717.13
1773016922.396305,67.0,0x80000,2400.03,6.879,55.0,0.73,717.13
1773016922.5479374,67.0,0x80000,2400.02,7.156,53.3,0.73,717.13
1773016922.69912,66.4,0x80000,2400.04,6.598,55.0,0.73,717.13
1773016922.8519857,68.1,0x80000,2400.03,7.178,56.7,0.73,717.13
1773016923.004229,68.1,0x80000,2400.03,5.305,59.0,0.73,717.13
1773016923.1540058,67.5,0x80000,2400.02,6.676,56.7,0.73,717.13
1773016923.3134007,67.0,0x80000,2400.03,7.425,65.1,0.73,716.88
1773016923.470383,67.0,0x80000,2400.02,7.187,82.0,0.73,716.63
1773016923.6264236,67.0,0x80000,2400.02,7.289,79.0,0.73,716.63
1773016923.7777395,67.5,0x80000,2400.02,7.137,55.0,0.73,716.63
1773016923.927157,68.6,0x80000,2400.02,7.035,53.3,0.73,716.63
1773016924.0798938,67.5,0x80000,2400.02,7.132,55.9,0.73,716.63
1773016924.233691,67.0,0x80000,2400.02,6.773,54.8,0.73,716.63
1773016924.3838537,67.0,0x80000,2400.02,6.154,53.3,0.73,716.63
1773016924.5359633,67.0,0x80000,2400.02,7.179,55.0,0.73,716.63
1773016924.6863153,67.5,0x80000,2400.02,6.909,55.0,0.73,716.63
1773016924.8396525,67.0,0x80000,2400.03,7.14,54.1,0.73,716.63
1773016924.9912965,65.9,0x80000,2400.02,7.134,54.2,0.73,716.63
1773016925.1432254,66.4,0x80000,2400.03,6.869,56.5,0.73,716.63
1773016925.296123,67.0,0x80000,2400.02,7.653,57.4,0.73,716.63
1773016925.4455829,67.0,0x80000,2400.03,7.098,53.4,0.73,716.63
