timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773019413.3443427,74.1,0x80000,2300.02,8.75,91.9,0.98,562.14
1773019413.499446,76.3,0x80000,2400.03,8.196,100.0,0.98,562.14
1773019413.6532793,77.4,0x80000,2400.03,8.972,98.4,0.98,562.14
1773019413.8092117,77.4,0x80000,2400.03,9.571,100.0,0.98,562.14
1773019413.961946,76.8,0x80000,2400.03,9.587,100.0,0.98,562.14
1773019414.1162548,77.9,0x80000,2400.03,8.884,100.0,0.98,562.14
1773019414.2670808,77.4,0x80000,2400.03,9.357,100.0,0.98,562.14
1773019414.4233968,75.7,0x80000,2400.03,9.176,98.4,0.98,562.14
1773019414.5772276,77.9,0x80000,2400.02,8.837,100.0,0.98,562.14
1773019414.730236,78.5,0x80000,2400.02,9.634,100.0,0.98,562.14
1773019414.8832536,78.5,0x80000,2400.03,9.415,100.0,0.98,562.14
1773019415.0372663,76.3,0x80000,2400.03,8.866,100.0,0.98,562.14
1773019415.1951914,78.5,0x80000,2400.03,8.281,96.9,0.98,562.14
1773019415.350084,77.9,0x80000,2400.03,8.418,100.0,0.98,562.14
1773019415.5021515,79.6,0x80000,2400.02,7.112,100.0,0.98,562.14
1773019415.6531112,77.4,0x80000,2400.03,9.038,100.0,0.98,562.14
1773019415.7991467,77.9,0x80000,2400.03,9.213,100.0,0.98,562.14
1773019415.95319,78.5,0x80000,2400.03,8.622,100.0,0.98,562.14
1773019416.1014085,77.9,0x80000,2400.02,8.584,100.0,0.98,562.14
1773019416.2508287,77.9,0x80000,2400.03,8.669,100.0,0.98,562.14
1773019416.4039426,79.6,0x80000,2400.02,8.634,100.0,0.98,562.14
1773019416.5561292,77.9,0x80000,2400.03,8.535,100.0,0.98,562.14
1773019416.7181625,76.8,0x80000,2400.03,7.632,72.3,0.99,560.89
1773019416.882035,77.4,0x80000,2400.03,4.717,97.0,0.99,560.89
1773019417.0404391,78.5,0x80000,2300.03,7.694,96.8,0.99,560.89
1773019417.207437,75.2,0x80000,2400.03,8.151,98.5,0.99,560.89
1773019417.3704033,77.4,0x80000,2400.03,7.767,98.4,0.99,560.89
1773019417.540694,77.4,0x80000,2400.02,7.681,97.1,0.99,560.89
1773019417.69101,77.4,0x80000,2400.03,7.796,96.6,0.99,560.89
1773019417.8427677,76.3,0x80000,2400.02,5.432,95.1,0.99,560.89
1773019417.997491,76.8,0x80000,2400.02,5.622,96.7,0.99,560.89
1773019418.1502044,77.4,0x80000,2400.03,7.431,95.2,0.99,560.89
1773019418.304702,76.3,0x80000,2400.03,7.282,100.0,0.99,560.89
1773019418.460444,75.7,0x80000,2400.03,7.619,96.8,0.99,560.89
1773019418.6101081,77.4,0x80000,2400.03,7.63,96.7,0.99,560.89
1773019418.7655728,75.2,0x80000,2400.03,5.633,93.4,0.99,560.89
1773019418.923418,76.8,0x80000,2400.03,7.552,96.8,0.99,560.89
1773019419.0736575,77.4,0x80000,2400.03,6.065,95.0,0.99,560.89
1773019419.2326927,75.2,0x80000,2300.03,7.61,92.2,0.99,560.89
1773019419.4169707,75.7,0x80000,2400.03,6.962,100.0,0.99,560.89
1773019419.578767,75.2,0x80000,2400.03,7.749,98.4,0.99,560.89
1773019419.737028,76.8,0x80000,2400.02,7.278,93.7,0.99,560.89
1773019419.8890834,76.3,0x80000,2400.03,5.592,96.7,0.99,560.89
1773019420.0458462,76.8,0x80000,2400.03,7.744,95.2,0.99,560.89
1773019420.2104533,76.8,0x80000,2300.03,7.672,98.5,0.99,560.89
1773019420.3617,75.2,0x80000,2400.04,5.338,95.0,0.99,560.89
1773019420.526832,75.7,0x80000,2400.03,5.884,97.0,0.99,560.89
1773019420.689243,76.8,0x80000,2400.02,5.372,96.9,0.99,560.89
1773019420.8464832,75.7,0x80000,2400.02,5.205,91.9,1.0,560.89
1773019421.001889,75.7,0x80000,2400.03,5.093,95.2,1.0,560.89
1773019421.1532822,75.2,0x80000,2400.03,4.972,96.7,1.0,560.89
1773019421.3147643,75.7,0x80000,2400.03,7.422,93.8,1.0,560.89
1773019421.4758897,74.7,0x80000,2400.02,7.439,96.8,1.0,560.89
1773019421.6343641,75.2,0x80000,2400.03,5.357,96.9,1.0,560.89
1773019421.802108,74.7,0x80000,2400.03,7.018,100.0,1.0,560.89
1773019421.9566221,75.7,0x80000,2400.03,7.079,96.7,1.0,560.89
1773019422.1318457,75.7,0x80000,2400.02,5.643,95.7,1.0,560.89
1773019422.2843804,75.2,0x80000,2400.04,7.891,96.7,1.0,560.89
1773019422.4463058,75.7,0x80000,2400.03,5.371,93.8,1.0,560.89
1773019422.6131034,74.7,0x80000,2400.02,7.562,95.5,1.0,560.89
1773019422.7672598,76.8,0x80000,2400.04,7.597,96.8,1.0,560.89
1773019422.9327407,75.2,0x80000,2400.03,5.398,95.5,1.0,560.89
1773019423.0923617,76.3,0x80000,2400.03,5.286,96.8,1.0,560.89
1773019423.2558198,74.1,0x80000,2400.02,5.31,95.5,1.0,560.89
1773019423.4174454,75.2,0x80000,2400.02,5.677,96.9,1.0,560.89
1773019423.571243,74.7,0x80000,2400.03,7.915,95.0,1.0,560.89
1773019423.7243252,74.7,0x80000,2400.02,7.393,95.0,1.0,560.89
1773019423.881057,75.7,0x80000,2400.03,7.628,95.3,1.0,560.89
1773019424.038245,74.7,0x80000,2400.02,7.705,96.8,1.0,560.89
1773019424.1953273,74.7,0x80000,2400.02,6.63,93.3,1.0,560.89
1773019424.3485126,75.7,0x80000,2400.03,7.332,96.8,1.0,560.89
1773019424.5058684,76.3,0x80000,2400.02,8.102,98.4,1.0,560.89
1773019424.658017,75.7,0x80000,2400.03,7.263,96.7,1.0,560.89
1773019424.841014,76.3,0x80000,2400.03,7.405,97.3,1.0,560.89
1773019425.002374,75.7,0x80000,2400.03,7.633,98.4,1.0,560.89
1773019425.174282,75.7,0x80000,2300.02,7.158,97.1,1.0,560.89
1773019425.3370588,74.7,0x80000,2400.02,7.541,98.5,1.0,560.89
1773019425.4914238,75.2,0x80000,2400.03,8.254,98.3,1.0,560.89
