timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773159770.340665,67.5,0x0,2400.02,8.534,62.9,1.44,0.0
1773159770.4960043,68.6,0x0,2400.03,7.051,93.5,1.44,0.0
1773159770.651041,69.7,0x0,2400.02,4.622,95.2,1.44,0.0
1773159770.802292,70.3,0x0,2400.02,7.273,94.9,1.44,0.0
1773159770.95005,68.6,0x0,2400.03,7.936,93.3,1.44,0.0
1773159771.102257,70.3,0x0,2400.02,8.594,100.0,1.45,0.0
1773159771.2572346,69.2,0x0,2400.02,6.325,53.2,1.45,0.0
1773159771.415009,68.6,0x0,2400.03,6.512,74.2,1.46,0.0
1773159771.5769825,68.1,0x0,2400.03,6.613,61.5,1.46,0.0
1773159771.7324078,69.7,0x0,2400.03,6.216,56.5,1.46,0.0
1773159771.8974028,67.5,0x0,2400.02,6.608,72.3,1.46,0.0
1773159772.059293,68.6,0x0,2400.02,7.326,81.0,1.46,0.0
1773159772.2281077,68.6,0x0,2400.03,6.401,82.1,1.46,0.0
1773159772.384646,69.2,0x0,2400.03,6.447,65.1,1.46,0.0
1773159772.5408301,68.6,0x0,2400.03,6.364,62.9,1.46,0.0
1773159772.6974208,67.5,0x0,2400.02,6.382,55.0,1.46,0.0
1773159772.853676,68.6,0x0,2400.02,6.599,57.1,1.46,0.0
1773159773.008858,69.2,0x0,2400.03,6.247,54.8,1.46,0.0
1773159773.1646662,68.6,0x0,2400.03,6.536,54.8,1.46,0.0
1773159773.3200274,68.1,0x0,2400.03,6.4,55.7,1.46,0.0
1773159773.475813,68.6,0x0,2400.04,6.523,54.8,1.46,0.0
1773159773.6335616,68.6,0x0,2400.03,6.366,55.6,1.46,0.0
1773159773.8014956,68.1,0x0,2400.03,6.359,64.2,1.46,0.0
1773159773.9569075,68.1,0x0,2400.03,6.406,54.8,1.46,0.0
1773159774.1125865,68.6,0x0,2400.02,6.445,54.1,1.46,0.0
1773159774.269287,69.2,0x0,2400.03,6.36,56.5,1.46,0.0
1773159774.4246352,68.6,0x0,2400.03,6.325,55.7,1.46,0.0
1773159774.5928981,67.5,0x0,2400.03,6.47,73.5,1.46,0.0
1773159774.75616,68.6,0x0,2400.03,6.383,81.3,1.45,0.0
1773159774.919478,68.1,0x0,2400.02,7.263,81.3,1.45,0.0
1773159775.0754485,67.5,0x0,2400.02,6.336,67.7,1.45,0.0
1773159775.2310526,67.5,0x0,2400.02,6.302,54.8,1.45,0.0
1773159775.387456,68.1,0x0,2400.03,6.454,54.1,1.45,0.0
1773159775.5426486,69.2,0x0,2400.03,6.304,54.8,1.45,0.0
1773159775.698793,67.5,0x0,2400.03,6.297,56.5,1.45,0.0
1773159775.856484,68.1,0x0,2400.02,6.483,56.5,1.45,0.0
1773159776.0129354,68.6,0x0,2400.03,6.401,56.5,1.45,0.0
1773159776.168376,68.1,0x0,2400.02,7.029,55.7,1.45,0.0
1773159776.3424795,69.2,0x0,2400.03,6.373,62.3,1.45,0.0
1773159776.497003,68.1,0x0,2400.02,6.347,54.8,1.45,0.0
1773159776.652541,67.5,0x0,2400.02,6.215,55.7,1.45,0.0
1773159776.8086772,67.5,0x0,2400.02,6.447,56.5,1.45,0.0
1773159776.9636972,68.1,0x0,2400.04,6.355,54.8,1.45,0.0
1773159777.1191275,69.2,0x0,2400.02,7.141,54.1,1.45,0.0
1773159777.2888536,68.6,0x0,2400.03,7.246,67.6,1.45,0.0
1773159777.451873,67.5,0x0,2400.03,6.428,82.8,1.45,0.0
1773159777.615992,69.2,0x0,2400.03,6.555,81.3,1.45,0.0
1773159777.775667,68.1,0x0,2400.02,6.378,73.4,1.45,0.0
