timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773018191.3488646,69.7,0x80000,2400.03,3.929,70.2,0.63,836.37
1773018191.5018964,71.4,0x80000,2400.03,8.924,88.3,0.63,834.87
1773018191.654758,71.9,0x80000,2400.03,5.464,85.5,0.63,834.62
1773018191.8053324,72.5,0x80000,2400.04,5.595,95.0,0.63,833.87
1773018191.9694574,71.9,0x80000,2400.03,5.626,90.8,0.63,834.21
1773018192.1176739,74.1,0x80000,2400.03,8.583,88.1,0.63,834.21
1773018192.2764583,73.6,0x80000,2400.02,7.161,92.3,0.62,834.21
1773018192.4401538,73.0,0x80000,2400.03,6.695,92.3,0.63,833.04
1773018192.5994766,75.2,0x80000,2400.04,5.152,91.9,0.63,832.54
1773018192.7613053,74.7,0x80000,2400.02,4.6,89.2,0.63,831.04
1773018192.9199975,73.6,0x80000,2400.03,7.957,96.8,0.63,831.04
1773018193.0666716,73.6,0x80000,2400.03,8.489,96.6,0.63,831.04
1773018193.2333102,74.7,0x80000,2400.03,8.75,97.0,0.63,831.04
1773018193.3900664,74.7,0x80000,2400.02,9.357,98.4,0.63,831.04
1773018193.5405722,74.7,0x80000,2400.03,8.691,98.4,0.63,831.04
1773018193.6988091,76.3,0x80000,2400.04,7.466,95.2,0.63,831.04
1773018193.959813,74.7,0x80000,2400.02,9.253,98.1,0.63,831.04
1773018194.1081247,75.2,0x80000,2400.04,8.728,96.6,0.63,831.04
1773018194.2656033,74.7,0x80000,2400.02,7.295,96.9,0.63,831.04
1773018194.4225001,74.7,0x80000,2400.02,8.687,98.4,0.63,831.04
1773018194.5785987,74.7,0x80000,2400.02,8.648,98.4,0.63,831.04
1773018194.7453008,73.6,0x80000,2400.03,5.853,97.0,0.63,831.04
1773018194.924727,73.0,0x80000,2400.02,7.249,64.8,0.63,829.54
1773018195.0925598,74.1,0x80000,2400.03,7.391,98.5,0.63,829.54
1773018195.267976,74.7,0x80000,2400.02,7.378,98.6,0.63,829.54
1773018195.444309,73.6,0x80000,2400.02,6.818,97.2,0.63,829.54
1773018195.6043925,74.1,0x80000,2400.02,7.114,98.4,0.63,829.54
1773018195.776629,73.6,0x80000,2400.03,7.034,98.5,0.63,829.54
1773018195.9339278,73.6,0x80000,2400.03,7.252,98.4,0.63,829.54
1773018196.105494,73.6,0x80000,2400.03,7.47,98.6,0.63,829.54
