timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773022438.4990535,67.5,0x80000,2400.03,4.081,67.9,0.69,931.23
1773022438.671579,68.6,0x80000,2000.02,4.365,41.7,0.69,930.73
1773022438.8184521,65.9,0x80000,1600.02,2.963,7.0,0.69,930.48
1773022438.9652297,65.9,0x80000,1600.01,3.044,16.7,0.69,929.48
1773022439.111041,64.8,0x80000,2400.03,4.3,19.3,0.69,933.14
1773022439.2645202,67.5,0x80000,2400.02,4.861,85.2,0.69,932.44
1773022439.4226923,69.2,0x80000,2400.03,7.576,91.9,0.68,932.26
1773022439.581124,68.1,0x80000,2400.03,6.47,87.3,0.68,930.5
1773022439.7359254,69.2,0x80000,2400.02,8.23,91.8,0.69,929.91
1773022439.8910563,69.2,0x80000,2400.02,7.387,90.2,0.68,930.38
1773022440.0796237,71.4,0x80000,2400.02,7.381,89.5,0.68,934.5
1773022440.240392,70.3,0x80000,2400.03,8.895,85.7,0.68,933.84
1773022440.3967612,69.7,0x80000,2400.03,6.735,92.1,0.68,940.63
1773022440.5555995,70.3,0x80000,2400.03,6.375,91.8,0.67,955.02
1773022440.7027318,69.2,0x80000,2400.02,5.492,88.3,0.66,970.83
1773022440.8535903,69.7,0x80000,2400.03,5.935,94.7,0.65,985.57
1773022441.0151875,70.8,0x80000,2400.02,8.791,92.3,0.65,989.96
1773022441.1674445,69.7,0x80000,2400.03,9.148,95.0,0.65,989.96
1773022441.3233972,70.8,0x80000,2400.02,6.955,93.4,0.65,989.96
1773022441.4961922,71.4,0x80000,2400.02,5.416,87.1,0.65,990.07
1773022441.656362,71.4,0x80000,2400.02,9.379,93.7,0.65,990.07
1773022441.8040063,70.3,0x80000,1700.01,3.153,28.8,0.65,990.07
1773022441.9600582,68.6,0x80000,2400.02,3.718,24.6,0.66,990.07
1773022442.1107419,67.5,0x80000,1600.02,2.958,10.0,0.65,990.07
1773022442.2583313,66.4,0x80000,1900.01,2.738,11.7,0.65,990.07
1773022442.4051533,65.9,0x80000,1700.02,2.814,8.6,0.65,990.07
1773022442.5587358,67.0,0x80000,1700.02,3.071,17.7,0.65,990.07
1773022442.7179363,67.5,0x80000,2400.03,5.717,93.8,0.66,982.49
1773022442.8645003,68.6,0x80000,2400.03,5.343,84.2,0.66,977.99
1773022443.0162985,68.6,0x80000,2400.04,5.838,89.7,0.66,978.59
1773022443.1696162,68.1,0x80000,2400.02,4.643,59.7,0.66,976.59
1773022443.3180559,68.6,0x80000,1800.02,2.828,51.7,0.67,973.84
1773022443.4628448,68.1,0x80000,2400.02,3.163,26.3,0.67,973.84
1773022443.6113195,66.4,0x80000,2200.03,3.104,20.0,0.67,973.59
1773022443.7598164,67.5,0x80000,2200.02,6.822,67.8,0.67,969.59
1773022443.916693,66.4,0x80000,2400.03,9.244,83.6,0.67,968.84
1773022444.06566,68.6,0x80000,2400.03,5.114,91.4,0.68,960.59
1773022444.21567,68.1,0x80000,1800.03,4.152,28.3,0.68,960.59
1773022444.3621738,67.5,0x80000,1800.02,8.207,24.1,0.67,960.84
1773022444.512106,67.5,0x80000,2100.02,3.492,26.2,0.68,956.84
1773022444.66123,68.1,0x80000,2400.03,6.341,66.7,0.68,956.59
1773022444.819098,67.5,0x80000,2400.02,9.274,65.1,0.68,953.09
1773022444.9702823,67.5,0x80000,2400.02,8.214,71.7,0.68,951.34
1773022445.118138,67.0,0x80000,2100.02,3.632,27.6,0.68,948.34
1773022445.2643847,66.4,0x80000,1700.02,2.919,13.6,0.68,948.34
1773022445.4115515,64.8,0x80000,1900.02,3.932,20.7,0.68,948.34
1773022445.5662076,64.8,0x80000,1600.02,6.306,41.0,0.68,948.34
1773022445.7138526,67.0,0x80000,1600.02,4.358,37.3,0.68,948.09
1773022445.860364,64.8,0x80000,1800.02,2.941,17.2,0.68,945.59
1773022446.008201,65.3,0x80000,1600.02,3.487,13.6,0.68,945.59
1773022446.2024064,63.7,0x80000,1700.02,3.074,14.3,0.68,941.34
1773022446.3471644,63.7,0x80000,2400.02,3.03,17.5,0.68,941.09
1773022446.494319,63.7,0x80000,1600.02,2.793,18.6,0.68,941.09
1773022446.6408148,63.7,0x80000,1500.02,2.702,17.5,0.68,941.39
1773022446.7912638,63.1,0x80000,2000.02,2.911,18.3,0.68,941.39
1773022446.9598505,63.7,0x80000,2400.02,7.115,53.7,0.68,941.39
1773022447.1110868,66.4,0x80000,1700.01,2.925,44.1,0.68,941.39
1773022447.2594025,63.1,0x80000,1600.02,2.771,15.3,0.68,941.39
1773022447.4077294,62.6,0x80000,2100.01,2.843,16.7,0.68,941.39
1773022447.558507,64.2,0x80000,1700.02,2.941,18.0,0.68,941.39
1773022447.7059293,63.7,0x80000,1800.02,5.008,12.1,0.68,941.14
1773022447.8521547,63.1,0x80000,2200.03,2.856,10.2,0.68,941.14
1773022448.0002375,62.0,0x80000,1500.02,2.997,6.9,0.68,941.14
1773022448.1556754,62.0,0x80000,1600.01,2.943,16.1,0.68,941.14
1773022448.3030658,61.5,0x80000,1600.02,3.65,13.6,0.68,941.14
1773022448.4594958,63.1,0x80000,2000.02,7.119,48.4,0.68,941.14
1773022448.6073608,65.3,0x80000,2000.03,4.544,67.2,0.68,941.14
1773022448.7542403,63.1,0x80000,1600.02,2.996,8.3,0.68,941.14
1773022448.9034996,62.0,0x80000,1700.02,2.719,5.1,0.68,941.14
1773022449.0541718,62.0,0x80000,1900.03,2.758,6.7,0.68,941.14
1773022449.204673,62.6,0x80000,1900.02,3.796,22.0,0.68,941.14
1773022449.36166,63.7,0x80000,2400.02,6.679,93.5,0.68,940.39
1773022449.517138,64.8,0x80000,2400.03,6.205,93.7,0.68,941.92
1773022449.6849105,65.3,0x80000,2400.03,6.481,97.0,0.68,948.68
1773022449.8441558,65.9,0x80000,2400.03,6.136,95.3,0.68,955.44
1773022450.0052686,65.9,0x80000,2400.02,6.787,98.4,0.68,962.83
1773022450.1655178,66.4,0x80000,2400.03,6.582,95.4,0.69,970.54
1773022450.4543135,67.0,0x80000,2400.03,6.769,94.7,0.72,984.84
1773022450.7491584,68.1,0x80000,2400.02,2.814,76.9,0.72,990.8
1773022450.9002042,64.8,0x80000,1800.02,5.798,48.3,0.71,990.8
1773022451.0564926,64.8,0x80000,2400.02,3.767,46.0,0.71,990.8
1773022451.2183638,63.7,0x80000,1900.03,4.042,57.1,0.71,990.05
1773022451.374342,65.3,0x80000,2400.04,4.223,82.0,0.71,989.55
