timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773015867.9122586,68.1,0x80000,2400.03,8.62,59.9,1.02,503.85
1773015868.0671425,69.7,0x80000,2400.03,8.779,95.3,1.03,503.85
1773015868.2197223,70.8,0x80000,2400.02,8.595,98.4,1.03,503.85
1773015868.3715134,71.9,0x80000,2400.03,7.859,98.3,1.03,503.85
1773015868.5261118,69.7,0x80000,2400.02,8.666,96.8,1.03,503.85
1773015868.6789484,73.0,0x80000,2400.03,8.361,96.7,1.03,503.85
1773015868.8368993,72.5,0x80000,2400.03,8.723,98.4,1.03,503.85
1773015868.9921215,72.5,0x80000,2400.02,4.702,90.5,1.03,503.85
1773015869.1400316,71.9,0x80000,2400.02,8.548,96.6,1.03,503.85
1773015869.289263,72.5,0x80000,2400.03,8.708,96.7,1.03,503.85
1773015869.4422336,73.0,0x80000,2400.03,8.699,98.4,1.03,503.85
1773015869.5968673,71.9,0x80000,2400.02,5.102,96.7,1.03,503.85
1773015869.7494657,73.0,0x80000,2400.03,6.105,96.7,1.03,503.85
1773015869.8982828,73.6,0x80000,2400.03,8.127,100.0,1.03,503.85
1773015870.0469007,73.6,0x80000,2400.03,8.68,100.0,1.03,503.85
1773015870.3010588,73.0,0x80000,2400.03,7.36,67.0,1.07,503.85
1773015870.4560604,71.4,0x80000,2400.02,6.425,54.8,1.07,503.85
1773015870.6103578,70.8,0x80000,2400.03,6.872,56.5,1.07,503.85
1773015870.764829,71.9,0x80000,2400.03,6.817,55.7,1.07,503.85
1773015870.9204974,70.8,0x80000,2400.03,6.135,59.0,1.07,503.85
1773015871.0749285,70.8,0x80000,2400.02,6.852,54.1,1.07,503.85
1773015871.2297761,70.8,0x80000,2400.02,6.817,54.1,1.07,503.85
1773015871.3838458,71.4,0x80000,2400.04,6.882,55.7,1.07,503.85
1773015871.5389018,70.3,0x80000,2400.02,6.656,57.1,1.07,503.85
1773015871.6935768,70.3,0x80000,2400.03,6.686,54.1,1.07,503.85
1773015871.8486984,70.3,0x80000,2400.03,7.07,54.8,1.07,503.85
