timestamp,temp,throttled,clock_mhz,watts,cpu,ram,swap
1773016813.300254,68.6,0x80000,2400.03,8.675,59.7,0.75,729.63
1773016813.4545615,71.4,0x80000,2400.02,4.461,95.1,0.75,729.63
1773016813.6103544,69.2,0x80000,2400.03,6.026,96.8,0.75,729.63
1773016813.7648637,70.3,0x80000,2400.03,5.171,88.5,0.75,729.13
1773016813.9151154,70.8,0x80000,2400.03,8.575,100.0,0.75,729.13
1773016814.071348,69.7,0x80000,2400.02,6.756,54.8,0.75,728.63
1773016814.2249131,69.7,0x80000,2400.02,6.113,54.8,0.75,728.63
1773016814.383906,69.7,0x80000,2400.03,6.668,71.9,0.75,728.63
1773016814.5388455,69.7,0x80000,2400.02,6.795,55.0,0.75,728.63
1773016814.6934085,70.8,0x80000,2400.03,6.79,54.8,0.75,728.63
1773016814.8488138,69.2,0x80000,2400.02,6.62,54.8,0.75,728.63
1773016815.0045671,69.7,0x80000,2400.03,6.476,54.8,0.75,728.63
1773016815.1582274,70.3,0x80000,2400.02,7.67,57.4,0.75,728.63
1773016815.3168426,69.7,0x80000,2400.03,5.445,57.1,0.75,728.63
1773016815.4713218,69.2,0x80000,2400.02,6.751,57.4,0.75,728.63
1773016815.6256735,69.7,0x80000,2400.02,6.57,55.7,0.75,728.63
1773016815.7791343,69.2,0x80000,2400.02,6.504,54.1,0.75,728.63
1773016815.9342554,68.6,0x80000,2400.02,6.766,54.8,0.75,728.63
1773016816.089397,69.2,0x80000,2400.02,6.608,55.7,0.75,728.63
1773016816.2439094,68.1,0x80000,2400.02,7.156,55.7,0.75,728.63
1773016816.3993301,69.2,0x80000,2400.03,6.709,54.8,0.75,728.63
1773016816.5548146,68.6,0x80000,2400.02,6.503,54.1,0.75,728.63
1773016816.7101572,69.7,0x80000,2400.03,6.52,54.8,0.75,728.63
1773016816.8659372,70.3,0x80000,2400.03,6.665,54.8,0.75,728.63
1773016817.0220666,69.2,0x80000,2400.03,6.314,56.5,0.75,728.63
1773016817.176739,69.2,0x80000,2400.02,6.586,54.8,0.75,728.63
1773016817.3320143,69.2,0x80000,2400.03,6.499,55.7,0.75,728.63
1773016817.486961,70.8,0x80000,2400.02,6.433,54.8,0.75,728.63
1773016817.6416569,69.2,0x80000,2400.03,6.65,54.1,0.75,728.63
1773016817.7973435,70.3,0x80000,2400.03,6.511,56.5,0.75,728.63
1773016817.952144,68.1,0x80000,2400.03,6.737,54.8,0.75,728.63
1773016818.1076894,70.8,0x80000,2400.03,6.668,56.5,0.75,728.63
1773016818.2626593,69.2,0x80000,2400.03,6.648,54.1,0.75,728.63
1773016818.4174626,69.2,0x80000,2400.02,6.373,54.8,0.75,728.63
1773016818.5737288,69.2,0x80000,2400.03,6.655,54.8,0.75,728.63
1773016818.7282794,69.2,0x80000,2400.02,7.202,55.0,0.75,728.63
1773016818.8823712,70.3,0x80000,2400.03,6.612,54.8,0.75,728.63
1773016819.0373847,68.1,0x80000,2400.03,6.704,54.8,0.75,728.63
1773016819.1922808,70.3,0x80000,2400.02,6.681,55.7,0.75,728.63
1773016819.346775,68.1,0x80000,2400.03,6.564,54.8,0.75,728.63
1773016819.501465,68.6,0x80000,2400.03,6.417,54.1,0.75,728.63
1773016819.6561334,67.5,0x80000,2400.03,6.678,54.8,0.75,728.63
1773016819.8113945,69.2,0x80000,2400.03,6.562,54.8,0.75,728.63
1773016819.9665222,70.3,0x80000,2400.03,6.368,55.7,0.75,728.63
1773016820.12346,69.7,0x80000,2400.02,6.91,56.5,0.75,728.63
1773016820.2787547,69.2,0x80000,2400.03,6.53,54.1,0.75,728.63
1773016820.4333038,69.2,0x80000,2400.02,6.559,54.8,0.75,728.63
1773016820.5885935,68.6,0x80000,2400.03,6.351,54.8,0.75,728.63
1773016820.751729,69.2,0x80000,2400.03,6.883,67.2,0.75,728.38
1773016820.9078262,69.2,0x80000,2400.04,6.765,77.0,0.75,728.13
1773016821.0704148,69.2,0x80000,2400.02,7.031,82.5,0.75,728.13
1773016821.2257538,69.2,0x80000,2400.03,6.65,74.2,0.75,727.88
1773016821.3806634,69.7,0x80000,2400.02,6.825,54.1,0.75,727.88
1773016821.535829,68.1,0x80000,2400.03,6.582,54.8,0.75,727.88
1773016821.6903214,68.1,0x80000,2400.03,6.715,54.8,0.75,727.88
1773016821.8455117,69.7,0x80000,2400.03,6.612,54.1,0.75,727.88
1773016822.0005136,68.6,0x80000,2400.02,6.604,54.8,0.75,727.88
1773016822.1548479,70.3,0x80000,2400.02,6.619,55.7,0.75,727.88
1773016822.3097067,68.6,0x80000,2400.03,6.582,56.5,0.75,727.88
1773016822.4648225,70.3,0x80000,2400.03,6.586,54.1,0.75,727.88
1773016822.6190798,68.6,0x80000,2400.03,6.564,54.1,0.75,727.88
1773016822.7763224,69.2,0x80000,2400.03,6.706,61.3,0.75,727.88
1773016822.9316733,68.6,0x80000,2400.03,6.653,54.8,0.75,727.88
1773016823.086356,69.2,0x80000,2400.02,6.696,55.7,0.75,727.88
1773016823.2411494,70.3,0x80000,2400.02,6.641,54.8,0.75,727.88
1773016823.3958728,68.6,0x80000,2400.03,6.61,54.1,0.75,727.88
1773016823.5509984,68.6,0x80000,2400.02,6.664,54.8,0.75,727.88
1773016823.7052472,69.7,0x80000,2400.03,6.558,54.8,0.75,727.88
1773016823.8598435,69.7,0x80000,2400.03,6.595,54.1,0.75,727.88
1773016824.0160637,69.2,0x80000,2400.04,6.488,54.8,0.75,727.88
1773016824.1707253,69.7,0x80000,2400.03,6.65,55.7,0.75,727.88
1773016824.3253424,69.2,0x80000,2400.02,6.459,54.8,0.75,727.88
1773016824.4809418,69.7,0x80000,2400.03,6.539,54.8,0.75,727.88
1773016824.635241,69.2,0x80000,2400.02,6.585,54.1,0.75,727.88
1773016824.7904062,67.0,0x80000,2400.02,6.697,54.8,0.75,727.88
1773016824.9453816,68.6,0x80000,2400.03,6.37,55.7,0.75,727.88
1773016825.099035,68.1,0x80000,2400.03,6.723,56.5,0.75,727.88
1773016825.2541964,68.6,0x80000,2400.02,6.4,54.1,0.75,727.88
1773016825.4095094,68.1,0x80000,2400.03,6.821,56.5,0.75,727.88
1773016825.564145,69.2,0x80000,2400.03,6.381,55.7,0.75,727.88
1773016825.7189012,68.6,0x80000,2400.03,6.641,54.1,0.75,727.88
1773016825.8736992,69.2,0x80000,2400.03,6.722,54.8,0.75,727.88
1773016826.0294554,68.6,0x80000,2400.03,6.57,55.7,0.75,727.88
1773016826.1851642,68.6,0x80000,2400.03,6.631,55.7,0.75,727.88
1773016826.3398418,68.6,0x80000,2400.03,6.624,54.8,0.75,727.88
1773016826.4954815,68.1,0x80000,2400.03,4.348,54.8,0.75,727.88
1773016826.6500764,68.6,0x80000,2400.02,6.586,54.1,0.75,727.88
1773016826.804805,69.2,0x80000,2400.03,6.606,54.8,0.75,727.88
1773016826.9599254,68.1,0x80000,2400.02,6.629,55.7,0.75,727.88
1773016827.1137938,68.1,0x80000,2400.03,6.408,54.1,0.75,727.88
1773016827.2682776,69.2,0x80000,2400.02,6.522,56.5,0.75,727.88
1773016827.4225268,69.7,0x80000,2400.03,6.469,54.1,0.75,727.88
1773016827.578009,69.2,0x80000,2400.03,6.443,55.7,0.75,727.88
1773016827.7322173,69.2,0x80000,2400.04,6.279,54.1,0.75,727.88
1773016827.8870466,68.6,0x80000,2400.03,6.607,54.8,0.75,727.88
1773016828.0425823,68.6,0x80000,2400.02,6.735,59.7,0.75,727.88
1773016828.196368,69.7,0x80000,2400.03,6.823,54.1,0.75,727.88
1773016828.3510668,69.2,0x80000,2400.03,6.616,54.8,0.75,727.88
1773016828.5058217,69.2,0x80000,2400.02,6.604,54.1,0.75,727.88
1773016828.6604054,69.2,0x80000,2400.03,6.557,54.8,0.75,727.88
1773016828.8152215,68.1,0x80000,2400.04,6.68,54.1,0.75,727.88
1773016828.969878,69.7,0x80000,2400.03,6.759,55.7,0.75,727.88
